KEYWORD,HASH TAGS,HANDLE,OUR HANDLE,DOMAIN SOURCE,DATA CONDITIONS
quickmeme,#quickmeme,@quickmeme,@AlexisLover16xo,http://www.quickmeme.com/,Meme Image Safe / Specific
cheezburger,#cheezburger,@cheezburger,@AssemblyQuotes2,http://icanhascheezburger.com/,Images Only
weknowmemes,#weknowmemes,@weknowmemes,,http://weknowmemes.com/,No Titles or Excerpts
memegenerator,#memegenerator,@memegenerator,,http://www.memehumor.com/,
funny meme,#funnymeme,@funnymeme,,http://funnymeme.com/,
funny meme pics,#funnymemepics,@funnymemepics,,,
meme pics,#memepics,@memepics,,,
LOLcats,#LOLcats,@LOLcats,,,
LOLcat,#LOLcat,@LOLcat,,,
animal capshunz,#animalcapshunz,@animalcapshunz,,,
funny cat,#funnycat,@funnycat,,,
funny cats,#funnycats,@funnycats,,,
funny pictures,#funnypictures,@funnypictures,,,
funny pics,#funnypics,@funnypics,,,
9gag,#9gag,@9gag,,,
9gag.com/gag/,#funnyism,@funnyism,,,
funnyism,#oddee,@oddee,,,
oddee,#brobible,@brobible,,,
brobible,#bestmemes,@imgur,,,
best memes,#imgur,@wtfshots,,,
imgur.com,#youmoron,@AlexisLover16xo,,,
imgur,#wtfshots,@AssemblyQuotes2,,,
youmoron,,,,,
wtfshots,,,,,
